number-n 不少 数量 0.134 syn
struggle-n 斗争 斗争 1.0 poly
formation-n 组成 追究 0.019 syn
struggle-v 挣扎 中校 0.019 syn
struggle-v 中校 艰难 0.011 syn
prove-v 确证 前面 0.067 syn
prove-v 证明 证明 1.0 poly
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
thank-v 谢谢 感谢 0.32 syn
use-v 航展 采用 0.058 syn
use-v 航展 用 -0.069 syn
use-v 航展 用 -0.069 syn
use-v 航展 利用 0.117 syn
use-v 航展 使用 0.019 syn
use-v 采用 用 0.415 syn
use-v 采用 用 0.415 syn
use-v 采用 使用 0.544 syn
use-v 采用 使用 0.544 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 用 1.0 poly
use-v 用 使用 0.59 syn
use-v 用 用 1.0 poly
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 用 1.0 poly
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 用 1.0 poly
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 用 1.0 poly
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 用 1.0 poly
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 利用 0.317 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 用 使用 0.59 syn
use-v 利用 使用 0.537 syn
use-v 利用 使用 0.537 syn
use-v 利用 使用 0.537 syn
use-v 利用 使用 0.537 syn
use-v 利用 使用 0.537 syn
use-v 利用 使用 0.537 syn
use-v 由此 使用 0.13 syn
use-v 由此 使用 0.13 syn
use-v 使用 使用 1.0 poly
rid-v 甩掉 摆脱 0.347 syn
warning-n 预报 警告 0.226 syn
live-v 插队 生活 0.22 syn
live-v 插队 生活 0.22 syn
live-v 插队 生活 0.22 syn
live-v 插队 生活 0.22 syn
live-v 插队 生活 0.22 syn
live-v 插队 住 0.438 syn
live-v 迁居 生活 0.185 syn
live-v 迁居 生活 0.185 syn
live-v 迁居 生活 0.185 syn
live-v 生活 住 0.307 syn
live-v 生活 住 0.307 syn
live-v 生活 住 0.307 syn
live-v 生活 住 0.307 syn
live-v 生活 住 0.307 syn
live-v 生活 住 0.307 syn
affect-v 影响 牵动 0.244 syn
affect-v 影响 受 0.606 syn
affect-v 影响 受 0.606 syn
affect-v 影响 埋 0.018 syn
affect-v 影响 受 0.606 syn
affect-v 影响 受 0.606 syn
affect-v 影响 受 0.606 syn
affect-v 影响 受 0.606 syn
affect-v 影响 埋 0.018 syn
affect-v 牵动 受 0.167 syn
notion-n 表述 观点 0.496 syn
help-v 帮忙 有助于 -0.046 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮忙 有助于 -0.046 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮忙 帮助 0.254 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
